STATE,YEAR_ST_CASE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR
48,2013480001,480001,1,0,2,113,1730,1,1,2013,3,7,36,5,MEANDERING WAY,,32.96073056,-96.7786,33,0,1,1,0,4,1,2,1,1
48,2013480002,480002,1,0,1,127,0,1,1,2013,3,4,0,4,CR-MARTINEZ RD,,28.46109167,-99.7805,1,0,1,1,0,4,2,1,1,0
48,2013480003,480003,1,0,2,157,6660,1,1,2013,3,5,50,8,UA90,SAVOY ST,29.62106389,-95.6298,46,0,3,2,0,3,4,2,1,1
48,2013480004,480004,2,0,5,201,0,1,1,2013,3,22,45,4,CR-KINGSLAND BLVD,,29.77192222,-95.7863,12,1,1,1,0,1,2,1,1,1
48,2013480005,480005,1,0,1,367,0,1,1,2013,3,23,50,4,CR-TIN TOP RD,,32.68593889,-97.7892,42,0,1,1,0,4,2,1,1,0
48,2013480006,480006,1,0,1,439,260,1,1,2013,3,2,56,5,PARK SPRINGS BLVD,SHADY VALLEY DR,32.71785833,-97.1689,46,0,3,2,0,4,3,2,1,1
48,2013480007,480007,2,0,2,453,330,1,1,2013,3,17,15,5,BERGER ST,,30.26975278,-97.6878,14,0,1,1,0,2,1,10,2,1
48,2013480008,480008,5,0,13,201,3280,2,1,2013,4,16,33,3,SR-6,,29.74084722,-95.6442,12,8,1,1,0,1,1,1,1,0
48,2013480010,480010,1,1,1,9,0,3,1,2013,5,6,0,8,FM172,,33.63244444,-98.4994,8,0,1,1,0,1,2,1,1,0
48,2013480011,480011,1,0,1,201,3280,3,1,2013,5,2,45,2,US-59/SOUTHWEST FWY,,29.72987778,-95.4563,25,0,19,1,0,3,3,1,1,1
48,2013480012,480012,2,0,6,229,0,3,1,2013,5,17,8,1,I-10,,31.20535833,-105.462,12,6,1,1,0,1,2,4,2,0
48,2013480013,480013,2,0,3,363,0,3,1,2013,5,17,43,8,FM 2201,,32.61245556,-98.173,12,2,1,1,0,1,1,1,2,0
48,2013480014,480014,1,1,1,409,3380,3,1,2013,5,2,7,3,SR-361,,27.88186944,-97.2102,8,0,1,1,0,1,2,10,1,0
48,2013480015,480015,1,1,1,439,2990,3,1,2013,5,4,49,2,US-377/DENTON HWY,,32.81008333,-97.2645,8,0,1,1,0,1,2,1,1,0
48,2013480016,480016,1,1,1,441,30,3,1,2013,5,7,4,8,BU 20,SEWELL,32.45026389,-99.7555,8,0,3,3,0,1,2,1,1,0
48,2013480017,480017,1,0,2,453,330,3,1,2013,5,4,10,1,I-35,,30.11353056,-97.8063,34,0,1,1,0,4,3,1,1,0
48,2013480018,480018,1,1,1,61,3030,4,1,2013,6,6,23,5,BUCHANAN AVE,D ST,26.18426111,-97.7,8,0,3,2,0,1,2,10,1,0
48,2013480019,480019,2,0,7,203,4360,4,1,2013,6,18,0,2,US-80/GRAND AVE,SL-390/ERNEST SMITH PKWY,32.54873611,-94.3951,12,6,2,2,0,1,3,1,1,0
48,2013480020,480020,1,1,4,409,0,4,1,2013,6,23,7,2,US-77,,27.98344167,-97.5529,8,0,1,1,0,1,2,10,1,0
48,2013480021,480021,2,0,1,439,260,5,1,2013,7,2,45,5,NEW YORK AVE,,32.64500833,-97.0765,38,0,1,1,0,4,3,1,1,1
48,2013480022,480022,1,0,2,439,2450,5,1,2013,7,13,18,1,I-35,,32.81660278,-97.3131,52,0,1,1,0,4,1,1,1,0
48,2013480023,480023,1,1,1,121,3192,7,1,2013,2,16,28,8,FM 2499,,33.08408333,-97.0782,9,0,1,1,0,1,1,1,1,0
48,2013480024,480024,3,0,3,201,3280,7,1,2013,2,8,40,2,US-90A,,29.63258611,-95.5025,12,8,1,1,0,1,1,1,1,0
48,2013480025,480025,2,0,4,439,2450,7,1,2013,2,11,20,5,CAMPUS DR,JOE B. RUSHING RD,32.67222778,-97.2952,12,1,2,2,0,1,1,1,1,0
48,2013480026,480026,2,0,2,21,460,8,1,2013,3,10,10,8,SL 150 CHESTNUT ST,PECAN ST,30.11055833,-97.3175,12,6,2,2,0,1,1,2,1,0
48,2013480027,480027,1,0,1,113,1730,8,1,2013,3,9,45,1,I-35,,32.64186111,-96.8231,21,0,19,1,0,4,1,2,1,0
48,2013480028,480028,1,0,1,183,0,8,1,2013,3,15,48,3,SR-149,,32.38959722,-94.6665,32,0,1,1,0,4,1,2,1,0
48,2013480029,480029,2,0,2,201,3280,8,1,2013,3,5,35,8,LOOP 8,BOHEME DR,29.76706944,-95.5621,12,6,2,3,0,1,3,2,1,0
48,2013480030,480030,2,0,5,249,0,8,1,2013,3,18,21,3,SR-359,,27.83892778,-98.014,12,6,1,1,0,1,2,10,1,1
48,2013480031,480031,3,0,5,265,0,8,1,2013,3,16,10,3,SR-173/BANDERA HWY,,29.89444722,-99.1056,12,6,1,1,0,1,1,2,1,1
48,2013480032,480032,1,1,1,303,4140,8,1,2013,3,11,23,2,US-84/AVENUE Q DR,,33.548425,-101.855,15,0,8,1,0,1,1,10,1,0
48,2013480033,480033,2,0,3,317,0,8,1,2013,3,13,0,3,SR-349/TOM CRADDICK HWY,,32.09456944,-102.099,12,6,1,1,0,1,1,10,1,0
48,2013480034,480034,1,0,1,453,330,8,1,2013,3,7,30,5,SARA DR,,30.2685,-97.6879,24,0,1,1,0,4,1,2,1,1
48,2013480035,480035,2,0,2,453,4290,8,1,2013,3,14,22,2,US-290E/HWY 290E,OLD KIMBRO ROAD,30.350625,-97.5005,12,1,3,2,0,1,1,2,1,0
48,2013480036,480036,1,0,1,113,1240,9,1,2013,4,14,8,7,US-67,,32.60996944,-96.9259,30,0,1,1,0,4,1,2,1,0
48,2013480037,480037,2,0,2,287,0,9,1,2013,4,8,17,2,US-77,,30.34081111,-96.9734,12,6,1,1,0,1,1,2,1,0
48,2013480038,480038,1,0,2,327,0,9,1,2013,4,12,20,2,US-83 RAMP,,30.88352778,-99.765,1,0,20,1,0,1,1,2,1,0
48,2013480039,480039,1,1,1,355,1550,9,1,2013,4,18,20,5,AYERS ST,ROOSEVELT DR,27.75493889,-97.4154,8,0,3,3,0,1,3,10,1,0
48,2013480041,480041,1,1,1,35,1390,10,1,2013,5,18,19,8,FM219 W 5TH ST,N AVE D,31.78347778,-97.574,8,0,3,2,0,1,3,1,1,0
48,2013480042,480042,1,0,1,113,4530,10,1,2013,5,6,7,5,TOWNE CENTRE DR,,32.80140278,-96.6298,24,0,1,1,0,4,3,10,1,0
48,2013480043,480043,1,1,1,201,0,10,1,2013,5,18,20,1,I-10,,29.78401111,-95.1101,9,0,1,1,0,1,2,10,1,0
48,2013480044,480044,1,1,1,441,30,10,1,2013,5,18,40,5,SAYLES BLVD,,32.44611944,-99.7479,8,0,1,1,0,1,2,1,1,0
48,2013480045,480045,1,0,1,145,0,11,1,2013,6,8,8,8,FM413,,31.22930556,-96.7623,32,0,1,1,0,4,1,1,1,0
48,2013480046,480046,3,0,5,287,0,11,1,2013,6,10,0,2,US-290,,30.18546667,-96.9595,12,2,1,1,0,1,1,1,1,0
48,2013480047,480047,1,0,1,29,6090,12,1,2013,7,7,57,8,FM2536 OLD PEARSALL RD,,29.36253611,-98.5928,1,0,1,1,0,4,3,10,1,1
