STATE,YEAR_ST_CASE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR
48,2016480001,480001,3,3,0,0,8,85,5390,1,1,2016,6,1,13,3,SR-289 PRESTON RD,HEDGCOXE RD,33.08231944,-96.8006,12,6,2,2,0,1,3,1,1,1
48,2016480002,480002,1,1,0,0,2,159,0,1,1,2016,6,6,45,1,I-30,,33.16255833,-95.1619,24,0,19,1,0,3,2,10,2,0
48,2016480003,480003,1,1,0,0,1,201,3280,1,1,2016,6,5,50,1,I-69/US-59 SOUTHWEST FWY,,29.71379444,-95.5029,33,0,5,1,0,10,3,10,1,1
48,2016480004,480004,2,2,0,0,3,205,0,1,1,2016,6,4,8,2,US-385,,35.80552778,-102.351,12,2,1,1,0,1,2,1,1,1
48,2016480005,480005,1,1,0,0,1,361,7200,1,1,2016,6,2,0,8,FM 105 MAIN ST,,30.11707778,-94.0083,59,0,1,1,0,4,3,10,1,0
48,2016480006,480006,1,1,0,1,1,373,4020,1,1,2016,6,21,46,2,US-59,,30.68573889,-94.9494,8,0,18,1,0,1,3,1,1,0
48,2016480007,480007,1,1,0,0,1,487,7180,1,1,2016,6,6,11,2,US-70/287,,34.16070278,-99.2905,31,0,1,1,0,10,3,1,1,0
48,2016480008,480008,1,1,0,0,3,29,6090,2,1,2016,7,18,51,1,I-37,,29.43452222,-98.4781,24,0,1,1,0,4,3,2,1,1
48,2016480009,480009,1,1,0,0,4,91,0,2,1,2016,7,10,16,1,I-35,,29.79818056,-98.0182,25,0,1,1,0,3,1,2,1,0
48,2016480010,480010,1,1,0,0,1,113,1190,2,1,2016,7,15,28,1,I-35,,32.96082222,-96.9152,1,0,1,1,1,1,1,10,1,0
48,2016480011,480011,1,1,0,1,1,113,3420,2,1,2016,7,23,35,3,SR-12,,32.81568333,-96.9218,8,0,1,1,0,1,3,1,1,0
48,2016480012,480012,2,2,0,0,2,135,0,2,1,2016,7,14,0,8,SL 338,FM 554,31.93435,-102.361,12,6,2,2,0,1,1,10,1,0
48,2016480013,480013,1,1,0,1,1,201,3280,2,1,2016,7,21,0,7,I-10,CALLES ST,29.77383333,-95.3176,8,0,3,3,0,1,3,2,1,0
