PERMNO,date,SHRCD,EXCHCD,SICCD,TICKER,COMNAM,SHRCLS,PRC,VOL,RET,SHROUT,NUMTRD,sprtrn
13407,20120518,11,3,9999,FB,FACEBOOK INC,A,38.23180,512952001,C,633492,1.79E6,-0.007388
13407,20120521,11,3,9999,FB,FACEBOOK INC,A,34.03000,168685926,-0.109903,633492,613352,0.016036
13407,20120522,11,3,9999,FB,FACEBOOK INC,A,31.00000,101474300,-0.089039,633492,392449,0.000486
13407,20120523,11,3,9999,FB,FACEBOOK INC,A,32.00000,73776510,0.032258,633492,297402,0.001694
13407,20120524,11,3,9999,FB,FACEBOOK INC,A,33.03000,50422865,0.032187,633492,173599,0.001380
13407,20120525,11,3,9999,FB,FACEBOOK INC,A,31.91000,37237146,-0.033909,633492,145599,-0.002166
13407,20120529,11,3,9999,FB,FACEBOOK INC,A,28.84000,78288035,-0.096208,633492,296335,0.011079
13407,20120530,11,3,9999,FB,FACEBOOK INC,A,28.19000,57338747,-0.022538,633492,220371,-0.014335
13407,20120531,11,3,9999,FB,FACEBOOK INC,A,29.60000,111566649,0.050018,633492,330929,-0.002277
13407,20120601,11,3,9999,FB,FACEBOOK INC,A,27.72000,41838429,-0.063514,633492,160291,-0.024643
13407,20120604,11,3,9999,FB,FACEBOOK INC,A,26.90000,35044698,-0.029582,633492,137489,0.000110
13407,20120605,11,3,9999,FB,FACEBOOK INC,A,25.86900,42500933,-0.038327,633492,155251,0.005727
13407,20120606,11,3,9999,FB,FACEBOOK INC,A,26.81000,61385247,0.036376,633492,228278,0.023049
13407,20120607,11,3,9999,FB,FACEBOOK INC,A,26.31000,25939081,-0.018650,633492,94775,-0.000106
13407,20120608,11,3,9999,FB,FACEBOOK INC,A,27.10000,38066455,0.030027,633492,139412,0.008114
13407,20120611,11,3,9999,FB,FACEBOOK INC,A,27.00500,28153725,-0.003506,633492,113337,-0.012620
13407,20120612,11,3,9999,FB,FACEBOOK INC,A,27.40000,15829763,0.014627,633492,65054,0.011651
13407,20120613,11,3,9999,FB,FACEBOOK INC,A,27.27000,17086664,-0.004744,633492,71782,-0.007023
13407,20120614,11,3,9999,FB,FACEBOOK INC,A,28.29000,16834394,0.037404,633492,63814,0.010815
